subsample_ratio;accuracy;f1;iteration
 0.0000316200; 56.061; 53.476;32
 0.0001000000; 56.061; 51.934;61
 0.0010000000; 65.657; 63.441;8
 0.0031620000; 59.596; 58.333;34
 0.0100000000; 60.606; 58.511;43
 0.0000100000; 58.081; 49.697;57
 0.0000316200; 56.061; 48.521;59
 0.0003162000; 54.545; 47.059;4
 0.0010000000; 61.111; 57.459;46
 0.0031620000; 64.646; 63.542;45
 0.0100000000; 57.071; 55.497;61
 0.0000100000; 55.051; 50.279;54
 0.0001000000; 62.121; 60.317;21
 0.0003162000; 52.525; 50.526;22
 0.0010000000; 62.626; 58.427;9
 0.0031620000; 64.141; 61.202;25
 0.0100000000; 59.596; 56.044;45
 0.0000100000; 56.061; 50.847;38
 0.0000316200; 60.606; 54.118;55
 0.0003162000; 67.677; 67.010;37
 0.0031620000; 60.101; 52.695;7
 0.0100000000; 58.081; 52.571;21
 0.0000100000; 56.566; 48.810;63
 0.0000316200; 59.596; 56.522;34
 0.0001000000; 58.586; 56.383;57
 0.0010000000; 63.636; 59.091;24
 0.0031620000; 54.545; 50.000;20
 0.0100000000; 56.061; 51.934;28
 0.0000316200; 63.131; 58.757;1
 0.0000316200; 59.596; 56.989;21
 0.0003162000; 59.091; 55.249;3
 0.0010000000; 57.071; 53.552;28
 0.0031620000; 61.616; 60.417;12
 0.0100000000; 60.101; 56.831;27
 0.0000100000; 55.051; 46.707;18
 0.0000316200; 56.566; 49.412;27
 0.0003162000; 62.626; 59.341;10
 0.0010000000; 59.596; 59.596;15
 0.0031620000; 60.606; 57.609;11
 0.0100000000; 57.071; 55.026;34
 0.0000316200; 58.081; 54.144;3
 0.0000316200; 62.121; 54.545;17
 0.0001000000; 57.071; 45.860;40
 0.0010000000; 58.081; 52.023;6
 0.0031620000; 63.131; 59.218;33
 0.0100000000; 56.566; 49.412;37
 0.0000100000; 51.515; 48.936;13
 0.0000316200; 56.061; 50.286;30
 0.0001000000; 58.081; 53.631;54
 0.0010000000; 58.586; 56.383;27
 0.0031620000; 59.091; 54.749;35
 0.0100000000; 60.606; 56.667;46
 0.0000100000; 53.030; 51.309;24
 0.0000316200; 54.040; 52.356;16
 0.0001000000; 56.061; 52.459;36
 0.0010000000; 58.081; 57.868;0
 0.0031620000; 63.636; 61.702;32
 0.0100000000; 60.101; 56.354;60
 0.0000100000; 56.061; 49.711;10
 0.0000316200; 55.051; 50.829;38
 0.0003162000; 61.616; 59.574;1
 0.0010000000; 61.111; 56.000;45
 0.0031620000; 57.071; 53.552;39
 0.0100000000; 61.616; 55.814;40
 0.0000100000; 55.556; 52.174;22
 0.0000316200; 56.566; 51.685;54
 0.0003162000; 59.596; 58.333;0
 0.0010000000; 56.566; 50.000;3
 0.0031620000; 64.141; 64.322;24
 0.0100000000; 59.091; 55.249;56
 0.0000100000; 54.545; 50.549;47
 0.0000316200; 61.616; 57.778;49
 0.0003162000; 63.131; 57.803;14
 0.0010000000; 61.616; 57.778;12
 0.0031620000; 58.586; 54.945;47
 0.0100000000; 60.606; 57.143;63
 0.0000100000; 53.030; 47.458;31
 0.0001000000; 57.576; 53.846;3
 0.0003162000; 55.556; 52.174;5
 0.0010000000; 60.101; 55.866;14
 0.0031620000; 57.071; 53.039;22
 0.0100000000; 52.525; 50.000;30
 0.0000100000; 59.091; 52.071;17
 0.0000316200; 66.162; 63.388;58
 0.0003162000; 61.616; 54.217;31
 0.0010000000; 63.131; 57.803;25
 0.0031620000; 60.606; 56.667;17
 0.0100000000; 62.626; 58.889;51
 0.0000100000; 60.101; 58.639;52
 0.0001000000; 62.626; 60.215;15
 0.0001000000; 58.586; 54.945;43
 0.0003162000; 60.606; 57.609;62
 0.0031620000; 57.576; 52.273;40
 0.0100000000; 58.081; 53.631;50
 0.0000100000; 59.091; 54.237;7
